sum(lo_revenue)	d_year	p_brand1
67364473399	1992	MFGR#1224
66787227051	1993	MFGR#1224
65999658437	1994	MFGR#1224
64999737736	1995	MFGR#1224
67271467228	1996	MFGR#1224
65299614194	1997	MFGR#1224
38118789531	1998	MFGR#1224
71869090656	1992	MFGR#1232
70417605792	1993	MFGR#1232
69653776792	1994	MFGR#1232
70584695203	1995	MFGR#1232
71900034302	1996	MFGR#1232
71103124287	1997	MFGR#1232
42201584894	1998	MFGR#1232
63203814984	1992	MFGR#1220
63874423108	1993	MFGR#1220
63543622920	1994	MFGR#1220
63913454167	1995	MFGR#1220
63733612894	1996	MFGR#1220
64057698804	1997	MFGR#1220
38366708061	1998	MFGR#1220
64479084897	1992	MFGR#1230
62804224921	1993	MFGR#1230
63257946270	1994	MFGR#1230
64088056188	1995	MFGR#1230
63925315584	1996	MFGR#1230
63352109103	1997	MFGR#1230
37444501440	1998	MFGR#1230
63608298263	1992	MFGR#126
63883612382	1993	MFGR#126
64032220068	1994	MFGR#126
63539629581	1995	MFGR#126
64013283129	1996	MFGR#126
63268572380	1997	MFGR#126
37043563027	1998	MFGR#126
64934693552	1992	MFGR#1225
65235843498	1993	MFGR#1225
64022411913	1994	MFGR#1225
65048577815	1995	MFGR#1225
66002169430	1996	MFGR#1225
64715285594	1997	MFGR#1225
37975548118	1998	MFGR#1225
68845875547	1992	MFGR#1214
67888068776	1993	MFGR#1214
67904324360	1994	MFGR#1214
68267705094	1995	MFGR#1214
68293302297	1996	MFGR#1214
68635464488	1997	MFGR#1214
38929679294	1998	MFGR#1214
68416605637	1992	MFGR#1211
68043278225	1993	MFGR#1211
69373852137	1994	MFGR#1211
68212986928	1995	MFGR#1211
69440987726	1996	MFGR#1211
68389845610	1997	MFGR#1211
40041889896	1998	MFGR#1211
62572271531	1992	MFGR#1223
61826930817	1993	MFGR#1223
62477730907	1994	MFGR#1223
62903784103	1995	MFGR#1223
62903601050	1996	MFGR#1223
63449473131	1997	MFGR#1223
36144190443	1998	MFGR#1223
65408125786	1992	MFGR#127
65222421025	1993	MFGR#127
65791604589	1994	MFGR#127
65721210169	1995	MFGR#127
65471555954	1996	MFGR#127
66203485495	1997	MFGR#127
38499217759	1998	MFGR#127
63916250263	1992	MFGR#1233
65066073393	1993	MFGR#1233
64346911902	1994	MFGR#1233
64138592319	1995	MFGR#1233
63411284811	1996	MFGR#1233
63714783823	1997	MFGR#1233
37263839105	1998	MFGR#1233
61225666342	1992	MFGR#129
60653348432	1993	MFGR#129
61475593782	1994	MFGR#129
61501070234	1995	MFGR#129
60805856465	1996	MFGR#129
61500898314	1997	MFGR#129
35300513083	1998	MFGR#129
67714285222	1992	MFGR#1226
67836302631	1993	MFGR#1226
67427331620	1994	MFGR#1226
68456787663	1995	MFGR#1226
68643608622	1996	MFGR#1226
67951417824	1997	MFGR#1226
40377476129	1998	MFGR#1226
65230048283	1992	MFGR#1222
65818918885	1993	MFGR#1222
66360909973	1994	MFGR#1222
66197694284	1995	MFGR#1222
65695826238	1996	MFGR#1222
65125347720	1997	MFGR#1222
37960253378	1998	MFGR#1222
64135723264	1992	MFGR#1212
64331464926	1993	MFGR#1212
64827515872	1994	MFGR#1212
64175258355	1995	MFGR#1212
64292131118	1996	MFGR#1212
65038041637	1997	MFGR#1212
37999719326	1998	MFGR#1212
66101799042	1992	MFGR#125
65480784170	1993	MFGR#125
65943739029	1994	MFGR#125
66518439339	1995	MFGR#125
65600140210	1996	MFGR#125
66335049362	1997	MFGR#125
38248439933	1998	MFGR#125
59700762652	1992	MFGR#1238
60921857215	1993	MFGR#1238
60670845484	1994	MFGR#1238
59565332400	1995	MFGR#1238
60045225065	1996	MFGR#1238
61036758593	1997	MFGR#1238
35105308587	1998	MFGR#1238
65982930144	1992	MFGR#1236
68114835996	1993	MFGR#1236
65611799280	1994	MFGR#1236
66395459694	1995	MFGR#1236
67200551049	1996	MFGR#1236
67809634149	1997	MFGR#1236
38458847282	1998	MFGR#1236
65782836872	1992	MFGR#1219
64827944136	1993	MFGR#1219
66014633338	1994	MFGR#1219
64400105393	1995	MFGR#1219
65928022812	1996	MFGR#1219
65907232707	1997	MFGR#1219
38025626873	1998	MFGR#1219
68563228745	1992	MFGR#1228
68569462360	1993	MFGR#1228
68137641896	1994	MFGR#1228
68311501910	1995	MFGR#1228
67603351227	1996	MFGR#1228
68318150533	1997	MFGR#1228
40629913825	1998	MFGR#1228
64789273274	1992	MFGR#1221
65900576205	1993	MFGR#1221
64987911875	1994	MFGR#1221
66817954745	1995	MFGR#1221
65841348795	1996	MFGR#1221
65532052905	1997	MFGR#1221
38585880381	1998	MFGR#1221
67379253744	1992	MFGR#123
66832830692	1993	MFGR#123
67683521851	1994	MFGR#123
68021028650	1995	MFGR#123
67327145661	1996	MF
